year,departamento,total,temp_prom,emergencias,humedad,predida_bosques,necesidad_insatisfecha,precipitacion,superficie_reforestada
2014,HUANUCO,129,20.6075,79,64.67000000000002,27596.0,28.36568490668323,516.6999999999999,293.0
2014,JUNIN,508,12.391666666666666,155,59.08833333333334,12277.0,23.57993971940759,793.34,370.0
2014,LA LIBERTAD,63,20.965,31,90.72583333333334,49.0,12.40553866098535,11.3,1446.0
2014,LAMBAYEQUE,147,21.66583333333334,39,80.39,,13.74972140809662,10.6,95.0
2014,LORETO,7049,26.922727272727276,66,83.56363636363636,37564.0,58.27973834048449,2751.4,
2014,MADRE DE DIOS,1117,26.521666666666665,20,90.02833333333335,15767.0,30.22246016824302,2747.7,
2014,PASCO,33,5.185833333333334,198,85.43833333333333,9987.0,47.43310917388258,1042.4,148.0
2014,PIURA,2675,25.30818181818182,186,73.56909090909092,65.0,26.3623122576895,21.0,176.0
2014,PUNO,13,10.5475,83,64.68416666666666,2942.0,26.0863533642189,615.8,49.0
2014,SAN MARTIN,1574,22.778333333333336,215,83.425,26400.0,40.21276457799836,1673.1,
2014,TUMBES,1700,25.970833333333335,26,90.85333333333332,,30.30832169543677,,
2014,UCAYALI,1493,25.48,86,89.885,32637.0,50.67568806487257,2031.6,
2015,AMAZONAS,37,15.098333333333334,247,80.53166666666668,6931.0,37.17452088443548,1070.0,429.0
2015,ANCASH,118,12.84909090909091,15,76.17818181818183,,18.20660925652124,,1450.0
2015,AYACUCHO,268,18.251666666666665,302,79.12166666666667,813.0,24.91910508348693,638.6999999999999,173.0
2015,CAJAMARCA,218,15.375,310,62.88666666666666,1074.0,25.0055995510912,772.1999999999999,1022.0
2015,CUSCO,248,12.550833333333332,294,69.07166666666667,4808.0,15.86985141225184,687.0000000000001,176.0
2015,HUANUCO,307,20.8175,67,64.04599999999999,22912.0,26.13998733012841,425.1000000000001,296.0
2015,ICA,3,21.645833333333332,41,73.09583333333333,,12.45062815293918,5.5,
2015,JUNIN,774,12.553333333333336,171,58.75749999999999,9053.0,26.86994510528289,822.9,126.0
2015,LA LIBERTAD,2073,22.22916666666667,26,85.32333333333334,106.0,14.74392442984299,21.0,1386.0
2015,LAMBAYEQUE,1103,22.7525,52,81.17416666666666,,15.3948161571617,35.0,66.0
2015,LORETO,1630,27.28333333333333,104,91.63083333333331,31668.0,58.68795574500641,3282.2,
2015,MADRE DE DIOS,966,27.090833333333332,24,92.945,17802.0,30.63090963170935,2349.9,
2015,PASCO,32,5.464166666666666,159,86.00166666666668,7478.0,44.19217639752027,897.9,32.0
2015,PIURA,20041,26.064545454545456,156,76.08090909090907,112.0,25.53090350721091,,354.0
2015,SAN MARTIN,220,22.929999999999996,135,83.3775,22101.0,41.66273170372063,1673.8,
2015,TUMBES,7418,27.210833333333337,87,77.80090909090909,,26.84757059740368,459.7,
2015,UCAYALI,350,25.965454545454545,159,88.37,29715.0,47.39553456600071,1944.3,
2016,AMAZONAS,90,15.6,209,77.7,6984.0,36.40444490993037,649.1,564.0
2016,ANCASH,454,13.1,20,75.0,,15.67883663191603,559.4,1191.0
2016,AYACUCHO,2638,18.8,423,77.5,980.0,23.31339187718625,390.3,197.0
2016,CAJAMARCA,281,15.6,125,63.7,1890.0,23.85790698238154,522.8,728.0
2016,CUSCO,1100,13.3,438,64.2,5700.0,18.06363474972207,548.1,213.0
2016,HUANUCO,728,21.4,188,62.1,18198.0,27.37991400621787,307.2,178.0
2016,ICA,323,22.9,44,67.5,,11.77092697088668,0.3,
2016,JUNIN,931,13.0,289,55.7,16377.0,26.83403854679048,,143.0
2016,LA LIBERTAD,4650,21.2,40,84.9,77.0,13.59234987637793,17.1,2092.0
2016,LAMBAYEQUE,1662,22.4,37,81.9,,11.39567816791368,16.2,61.0
2016,LORETO,1686,27.5,108,89.7,37151.0,57.52171577929064,2885.6,
2016,MADRE DE DIOS,468,27.0,77,92.0,17054.0,29.1205175432279,,
2016,PASCO,50,6.0,321,84.9,7503.0,38.5147831765446,829.4,50.0
2016,PIURA,7610,26.0,157,71.9,200.0,26.64383800404519,,1094.0
2016,SAN MARTIN,335,23.6,100,81.1,20589.0,38.2829011646586,1334.8,
2016,TUMBES,1089,26.9,97,79.3,,28.56734780853476,588.1,
2016,UCAYALI,1007,26.0,196,87.5,29611.0,45.1914901098986,2010.1,
2017,AMAZONAS,93,15.159999999999997,177,79.24666666666667,8455.0,35.34619146457989,907.1,587.0
